City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
500,Galle,LK,78.03,overcast clouds,6.0367,80.217,Amangalla
501,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
502,Palamedu,IN,75.85,broken clouds,10.1167,78.1167,Umayal Gardens
503,Uchiza,PE,83.53,broken clouds,-8.4592,-76.4633,Hotel San Pedro
510,Saryagash,KZ,80.56,overcast clouds,41.4511,69.1701,fatyCentre Paradise
511,Kuryk,KZ,83.21,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
515,Luis Correia,BR,84.2,clear sky,-2.8792,-41.6669,Hotel Amarração
518,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
519,Trairi,BR,78.53,few clouds,-3.2778,-39.2689,janelas do mar
520,Erzin,TR,75.81,broken clouds,36.9559,36.2,Artemis Otel
522,Sao Filipe,CV,80.15,overcast clouds,14.8961,-24.4956,Hotel Xaguate
523,Coahuayana,MX,89.62,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
524,Ha Noi,VN,80.6,few clouds,21.0245,105.8412,Hotel Nikko Hanoi
526,Tabuk,PH,75.2,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
528,Yaring,TH,77.43,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
529,Indramayu,ID,77.92,clear sky,-6.3264,108.32,Grand Trisula Hotel
536,Lahaina,US,89.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
537,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
541,Muroto,JP,83.08,overcast clouds,33.2833,134.15,Oota Ryokan
542,El Pardo,PH,78.91,overcast clouds,9.66,123.4944,Villa Rosa
544,Jiaojiang,CN,81.0,broken clouds,28.6803,121.4428,Fangyuan Hotel
545,Harper,LR,75.4,overcast clouds,4.375,-7.7169,Screensaver
549,Vallenar,CL,80.76,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
551,San Quintin,MX,78.12,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
552,Les Cayes,HT,84.87,scattered clouds,18.2,-73.75,Villa Orphee
553,Tifton,US,89.56,broken clouds,31.4505,-83.5085,Hilton Garden Inn Tifton
558,Ocos,GT,84.38,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
564,Chongqing,CN,89.92,clear sky,29.5628,106.5528,Somerset Jiefangbei Chongqing Hotel
566,Tripoli,LY,82.0,clear sky,32.8752,13.1875,Al Waddan Hotel
567,Benton Harbor,US,77.65,clear sky,42.1167,-86.4542,The Boulevard Inn & Bistro
568,Bargi,IN,76.28,broken clouds,22.9833,79.8667,Aditya Dubey
569,Alexander City,US,89.06,clear sky,32.944,-85.9539,Hampton Inn Alexander City
